Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Booking Ids,3000,317,253,353,450,2227,148,10168,"0,033%","3,33352","118,48","0,55"
Total,3000,317,253,353,450,2227,148,10168,"0,033%","3,33352","118,48","0,55"
