Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
1741144227120,214,Create A New Booking,200,OK,Create Booking 1-45,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,214,0,160
1741144227420,255,Create A New Booking,200,OK,Create Booking 1-46,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,255,0,200
1741144227719,171,Create A New Booking,200,OK,Create Booking 1-47,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,171,0,127
1741144228021,167,Create A New Booking,200,OK,Create Booking 1-48,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,167,0,132
1741144228322,242,Create A New Booking,200,OK,Create Booking 1-49,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,242,0,174
1741144228621,168,Create A New Booking,200,OK,Create Booking 1-50,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,168,0,125
1741144228921,166,Create A New Booking,200,OK,Create Booking 1-51,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,166,0,132
1741144229221,209,Create A New Booking,200,OK,Create Booking 1-52,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,209,0,161
1741144229521,229,Create A New Booking,200,OK,Create Booking 1-53,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,229,0,151
1741144229821,206,Create A New Booking,200,OK,Create Booking 1-54,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,206,0,153
1741144230120,238,Create A New Booking,200,OK,Create Booking 1-55,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,238,0,172
1741144230420,221,Create A New Booking,200,OK,Create Booking 1-56,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,221,0,170
1741144230720,188,Create A New Booking,200,OK,Create Booking 1-57,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,143
1741144231020,210,Create A New Booking,200,OK,Create Booking 1-58,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,146
1741144231319,207,Create A New Booking,200,OK,Create Booking 1-59,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,207,0,163
1741144231620,213,Create A New Booking,200,OK,Create Booking 1-60,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,213,0,165
1741144231918,188,Create A New Booking,200,OK,Create Booking 1-61,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,147
1741144232219,216,Create A New Booking,200,OK,Create Booking 1-62,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,216,0,151
1741144232519,183,Create A New Booking,200,OK,Create Booking 1-63,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,183,0,128
