Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Update A Booking,1000,197,186,237,271,360,136,1202,"0,000%","8,33042","7,57","4,17"
Total,1000,197,186,237,271,360,136,1202,"0,000%","8,33042","7,57","4,17"
