Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create Token,3000,239,191,259,345,1175,136,22354,"0,033%","3,33373","2,53","0,81"
Total,3000,239,191,259,345,1175,136,22354,"0,033%","3,33373","2,53","0,81"
