Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Delete Booking,1,192,192,192,192,192,192,192,"0,000%","5,20833","3,85","1,17"
Total,1,192,192,192,192,192,192,192,"0,000%","5,20833","3,85","1,17"
