Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create Token,2000,218,189,235,266,498,138,7169,"0,000%","2,22292","1,69","0,54"
Total,2000,218,189,235,266,498,138,7169,"0,000%","2,22292","1,69","0,54"
