Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,3000,203,190,227,242,295,146,8191,"0,000%","3,33384","3,12","1,55"
TOPLAM,3000,203,190,227,242,295,146,8191,"0,000%","3,33384","3,12","1,55"
