Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Update A Booking,1000,195,188,228,244,287,153,424,"0,000%","3,33278","3,03","1,67"
Total,1000,195,188,228,244,287,153,424,"0,000%","3,33278","3,03","1,67"
