Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create Token,1000,212,193,232,244,320,146,4166,"0,000%","1,11199","0,84","0,27"
TOPLAM,1000,212,193,232,244,320,146,4166,"0,000%","1,11199","0,84","0,27"
